100,0.000059,0.000126,0.000128,0.000015,0.000016,0.000168,0.000021
200,0.000083,0.000113,0.000100,0.000027,0.000030,0.000285,0.000041
300,0.000206,0.000206,0.000153,0.000056,0.000060,0.000580,0.000087
400,0.000166,0.000151,0.000120,0.000052,0.000059,0.000534,0.000082
500,0.000349,0.000281,0.000204,0.000092,0.000103,0.000927,0.000145
600,0.000248,0.000197,0.000149,0.000078,0.000085,0.000800,0.000122
700,0.000320,0.000244,0.000171,0.000097,0.000108,0.000972,0.000154
800,0.000331,0.000236,0.000163,0.000104,0.000115,0.001043,0.000164
900,0.000325,0.000207,0.000160,0.000101,0.000113,0.001178,0.000167
1000,0.000360,0.000257,0.000163,0.000113,0.000125,0.001128,0.000178
1100,0.000769,0.000336,0.000184,0.000122,0.000136,0.001239,0.000210
1200,0.000462,0.000298,0.000191,0.000134,0.000149,0.001344,0.000228
1300,0.000500,0.000318,0.000202,0.000144,0.000164,0.001462,0.000247
1400,0.000555,0.000336,0.000210,0.000155,0.000174,0.001568,0.000266
1500,0.001028,0.000409,0.000221,0.000166,0.000187,0.002039,0.000516
1600,0.001116,0.000415,0.000225,0.000177,0.000200,0.001878,0.000339
1700,0.000745,0.000388,0.000227,0.000189,0.000212,0.001993,0.000360
1800,0.000772,0.000452,0.000250,0.000200,0.000224,0.002117,0.000354
1900,0.000685,0.000411,0.000246,0.000210,0.000236,0.002110,0.000337
2000,0.000797,0.000438,0.000278,0.000221,0.000248,0.002296,0.000393
2100,0.000824,0.000457,0.000272,0.000235,0.000261,0.002394,0.000385
2200,0.000818,0.000471,0.000276,0.000272,0.000274,0.002434,0.000403
2300,0.000836,0.000468,0.000282,0.000249,0.000277,0.002468,0.000412
2400,0.000837,0.000481,0.000278,0.000259,0.000290,0.002513,0.000400
2500,0.000797,0.000456,0.000271,0.000257,0.000275,0.002395,0.000393
2600,0.000879,0.000536,0.000290,0.000270,0.000304,0.002649,0.000421
2700,0.000861,0.000490,0.000281,0.000270,0.000299,0.002586,0.000424
2800,0.000928,0.000519,0.000298,0.000285,0.000316,0.002816,0.000451
2900,0.000924,0.000516,0.000298,0.000292,0.000332,0.002775,0.000456
3000,0.000971,0.000539,0.000298,0.000294,0.000331,0.002875,0.000472
3100,0.000989,0.000563,0.000320,0.000311,0.000341,0.002915,0.000474
3200,0.001025,0.000564,0.000326,0.000314,0.000354,0.003023,0.000489
3300,0.001024,0.000571,0.000332,0.000323,0.000370,0.003095,0.000504
3400,0.001054,0.000593,0.000342,0.000333,0.000383,0.003187,0.000520
3500,0.001085,0.000603,0.000348,0.000352,0.000385,0.003273,0.000538
3600,0.001116,0.000618,0.000356,0.000368,0.000397,0.003363,0.000550
3700,0.002038,0.000690,0.000366,0.000371,0.000408,0.004035,0.000678
3800,0.001443,0.000675,0.000377,0.000371,0.000419,0.004247,0.000653
3900,0.001366,0.000679,0.000381,0.000381,0.000429,0.004069,0.000670
4000,0.001401,0.000689,0.000391,0.000391,0.000441,0.004056,0.000667
4100,0.001386,0.000706,0.000397,0.000402,0.000452,0.004046,0.000665
4200,0.001392,0.000724,0.000405,0.000410,0.000477,0.004150,0.000660
4300,0.001371,0.000740,0.000422,0.000427,0.000474,0.004088,0.000676
4400,0.001431,0.000767,0.000412,0.000438,0.000485,0.004197,0.000672
4500,0.001456,0.000783,0.000422,0.000440,0.000496,0.004201,0.000706
4600,0.001426,0.000774,0.000439,0.000457,0.000502,0.004764,0.000703
